,koi_id,kic_id,kep_mag,Rstar,logrho,Teff,FeH,logg,limbdark_1,limbdark_2,npl,period,epoch,depth,duration,impact,ecc,omega,ror,dor,ttv_type
439,K02656,8636539,15.024,1.2388364051585583,-0.16395187588126398,6387.451890019041,-0.16960767424205142,4.335,0.5764776476559685,0.12513085033063742,1,6.77367892,142.26213174289248,0.00015079839999999998,0.16747607985534374,0.07169362871780446,0.0022554528454678045,4.107370991155981,0.01228,13.037,cubic
440,K02658,8547429,14.406,1.1642935450589647,-0.2504023522222153,5787.920187307238,0.052277722141526706,4.334,0.7113695102008445,0.05176152981304992,1,11.6601667,147.8284207169345,0.0001809025,0.19790505599574698,0.048830304331528684,0.0010017552955416563,4.323093271933717,0.01345,19.011,smooth
441,K02660,9893318,15.394,0.784648361265859,0.2320087069618151,5768.754699245364,-0.7392789499493385,4.561,0.6675850427026975,0.04711375216853775,1,18.0161227,156.37650007416565,0.0004995224999999999,0.16693511759019128,0.17878981993484955,0.008358743448717555,0.626594202751074,0.02235,34.415,cubic
442,K02663,7762723,13.461,1.317679251022177,-0.36742103758848105,5683.914521703317,0.019199924395554433,4.192,0.7405135238777186,-0.046165420155552604,1,9.88736642,145.6386668726823,6.806250000000001e-05,0.13777070557038484,0.7737965864368267,0.04093927808788026,0.120018291305245,0.00825,14.707,smooth
443,K02706,9697131,10.268,1.9232261368283379,-0.7356767686056741,6668.956894999735,0.1944195828108539,4.045,0.7131174556885488,0.11020580683771,1,3.09756897,133.4733331211372,8.335689999999999e-05,0.18580210050698615,0.12830979462967923,0.003275810043294886,3.4520354408862683,0.00913,5.35,gaussian
444,K02712,11098013,11.125,1.7807288454357924,-0.6257135738535009,6356.867677369661,0.1753722040569437,4.079,0.720238003778822,0.06039571121015921,1,7.50790041,143.34493511124845,0.0001449616,0.2399168330920969,0.038471466892566746,0.007432084178116303,2.792548583226189,0.01204,10.065,cubic
445,K02721,6587105,15.16,0.9294606207901678,0.0781669816488489,5618.004485130288,0.009241662148881016,4.476,0.7568679358704038,0.1349696512104693,1,33.878639,181.15728023485786,0.0007001316000000001,0.1321266965739089,0.8538583335806831,0.001803770080093011,-0.459502019234036,0.02646,46.543,none
446,K02728,4178606,12.852,1.3250505888753352,-0.296650132823089,6882.741156556352,-0.01366518184443409,4.307,0.7623316852643051,-0.09954762949271348,1,42.3520039,157.78798775030901,0.0005125696,0.32183012389251253,0.11617106739775777,0.016255373127201152,0.9154371448547369,0.02264,42.017,smooth
447,K02730,8415200,13.836,1.2612436263390554,-0.2798918201878602,5894.458802584583,-0.11478446041904031,4.249,0.6492741816168102,0.07068047177320652,1,4.52158614,136.01259262051917,0.0001062961,0.0698167938519097,0.9072980660789108,0.0021298325071274445,-0.06901816192109855,0.01031,9.212,none
448,K02733,5953297,14.009,0.7706779831852094,0.19597680385974,4802.5330603966095,0.2925240597926248,4.535,0.6078981335311137,-0.16714197866391142,1,5.62006198,136.42727228677379,0.0001901641,0.11386124372983547,0.2715486163740102,0.03814514517161709,-0.9412897652620141,0.01379,15.835,gaussian
449,K02734,7659389,15.768,0.7424110596193264,0.24837913823965613,4835.342031823612,-0.041520722306622855,4.572,0.7016322634444297,-0.02347764988146111,1,3.8259005,134.56621621755252,0.0008573184000000001,0.09590180938667801,0.33294922236959434,0.014179661745234108,-1.2485683597372779,0.02928,12.552,none
